content_id,date_created,level,campaign,content_pillar,platform,format,concept,hook,script,caption,cta,product,flavor,talent,status,publish_date,publish_time,asset_url,views,likes,comments,shares,saves,watch_time,completion_rate,clicks,conversions,notes
SF-020,2026-08-19,Campaign,hydration-sticks-launch,AForce Product,reels,15s video,The Variety Pack in 15 seconds,Three flavors. One ritual. Fifteen seconds.,content/scripts/sf-020.md,see script file,see script file,Variety Pack,all,voiceover + product,DRAFT,,,,,,,,,,,,,direct-response allocation; H-083
FD-001,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,4:58 — the beach where AForce started,4:58 AM. Fort Lauderdale Beach. This is where it started.,content/founder/fd-001.md,see script file,see script file,ambient,,Brandon,APPROVED,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED; CEO D-0002 2026-08-20
FD-002,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,The call: 'the next big thing',I called my brother from the beach at 5 AM. He picked up. Everything changed.,content/founder/fd-002.md,see script file,see script file,ambient,,Brandon,APPROVED,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED; CEO D-0002 2026-08-20
FD-003,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,Two years of 'impossible',We spent two years being told our product was impossible.,content/founder/fd-003.md,see script file,see script file,ambient,,Brandon,DRAFT,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED
FD-004,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,The spreadsheet,A name in an old spreadsheet saved this company.,content/founder/fd-004.md,see script file,see script file,ambient,,Brandon,DRAFT,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED
FD-005,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,Formulate. Fail. Adjust. Return.,The batch failed at 2 AM. We started again at 7.,content/founder/fd-005.md,see script file,see script file,ambient,,Brandon or Julius,DRAFT,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED
FD-006,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,Julius's dream: why there's an OS,My brother had a dream. Literally. It became half our company.,content/founder/fd-006.md,see script file,see script file,ambient,,Julius,DRAFT,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED
FD-007,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,"Vision guy, structure guy",The vision guy and the structure guy. We argue. It works.,content/founder/fd-007.md,see script file,see script file,ambient,,Brandon + Julius,DRAFT,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED
FD-008,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,What launch month actually takes,"Launch month, from inside. No highlight reel.",content/founder/fd-008.md,see script file,see script file,ambient,,Brandon,DRAFT,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED
FD-009,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,The hardest no so far,I don't love every part of building this company. Here's one decision that hurt.,content/founder/fd-009.md,see script file,see script file,ambient,,Brandon or Julius,DRAFT,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED
FD-010,2026-08-19,Always-On,,Founder Journey,reels/linkedin,45-60s video,Why the ritual starts with Pause,Both of our best ideas came from stillness. That's not a coincidence.,content/founder/fd-010.md,see script file,see script file,ambient,,Brandon,APPROVED,,,,,,,,,,,,,[SLOT]s must be resolved before APPROVED; CEO D-0002 2026-08-20
UGC-001,2026-08-19,Always-On,,Community,tiktok/reels,15-40s UGC,First Action: trainer opens the gym at 5:40,creator's own voice — options in brief,content/ugc/ugc-001.md,see brief,see brief,Hydration Sticks,Watermelon,Trainer,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-002,2026-08-19,Always-On,hydration-sticks-launch,Community,tiktok/reels,15-40s UGC,48 Hours Out: first half-marathon,creator's own voice — options in brief,content/ugc/ugc-002.md,see brief,see brief,Hydration Sticks,Berry,Runner,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-003,2026-08-19,Always-On,hydration-sticks-launch,Community,tiktok/reels,15-40s UGC,Row 34 red-eye ritual,creator's own voice — options in brief,content/ugc/ugc-003.md,see brief,see brief,Hydration Sticks,Berry,Entrepreneur/Traveler,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-004,2026-08-19,Always-On,,Community,tiktok/reels,15-40s UGC,Night shift prep: my arena is 3 AM,creator's own voice — options in brief,content/ugc/ugc-004.md,see brief,see brief,Hydration Sticks,Soursop,Nurse,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-005,2026-08-19,Always-On,,Community,tiktok/reels,15-40s UGC,The dorm version of the ritual,creator's own voice — options in brief,content/ugc/ugc-005.md,see brief,see brief,Hydration Sticks,Watermelon,Student Athlete,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-006,2026-08-19,Always-On,,Community,tiktok/reels,15-40s UGC,August heat session: what changes,creator's own voice — options in brief,content/ugc/ugc-006.md,see brief,see brief,Hydration Sticks,Watermelon,Gym regular,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-007,2026-08-19,Always-On,hydration-sticks-launch,Community,tiktok/reels,15-40s UGC,"Soursop first taste, with family",creator's own voice — options in brief,content/ugc/ugc-007.md,see brief,see brief,Hydration Sticks,Soursop,Lifestyle creator,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-008,2026-08-19,Always-On,,Community,tiktok/reels,15-40s UGC,The 90-minute deep work block,creator's own voice — options in brief,content/ugc/ugc-008.md,see brief,see brief,Hydration Sticks,Berry,Entrepreneur,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-009,2026-08-19,Always-On,,Community,tiktok/reels,15-40s UGC,Before the household wakes,creator's own voice — options in brief,content/ugc/ugc-009.md,see brief,see brief,Hydration Sticks,any,Parent,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
UGC-010,2026-08-19,Always-On,,Community,tiktok/reels,15-40s UGC,Quiet bag work: no music,creator's own voice — options in brief,content/ugc/ugc-010.md,see brief,see brief,Hydration Sticks,none visible,Boxer,APPROVED,,,,,,,,,,,,,creator to be cast via Agent 19; FTC disclosure required; brief approved CEO D-0003 2026-08-20; casting pending (no names supplied)
