idea_id,idea,pillar,campaign,platform,format,priority,status,source,notes
CI-058,Showing up on the days you'd rather not,Motivation + Discipline,,reels,short,P1,IDEA,build-2026-08-19,canon line
CI-059,Standards vs goals: why standards win,Motivation + Discipline,,x,text,P2,IDEA,build-2026-08-19,
CI-060,"Quiet Hours: 5 AM, no music, no hype",Motivation + Discipline,,reels,short,P1,IDEA,build-2026-08-19,F09; SF-009
CI-061,Discipline is remembering what you wanted — rebuttal,Motivation + Discipline,,tiktok,short,P3,IDEA,build-2026-08-19,avoid cliché; contrarian take
CI-062,One non-negotiable beats ten habits,Motivation + Discipline,,shorts,short,P2,IDEA,build-2026-08-19,F08 tie
CI-063,The 7-day First Action challenge,Motivation + Discipline,,tiktok,short,P2,IDEA,build-2026-08-19,community mechanic
CI-064,Composure is the new flex,Motivation + Discipline,,x,text,P2,IDEA,build-2026-08-19,
CI-065,Sodium: the misunderstood one,Ingredients,,shorts,short,P1,IDEA,build-2026-08-19,SF-002 F04 ep1
CI-066,Potassium: the signal keeper,Ingredients,,shorts,short,P1,IDEA,build-2026-08-19,F04 ep2
CI-067,Magnesium: quiet participant in energy production,Ingredients,,shorts,short,P2,IDEA,build-2026-08-19,F04 ep3 NIH framing
CI-068,Calcium beyond bones: muscle and nerve talk,Ingredients,,shorts,short,P2,IDEA,build-2026-08-19,F04 ep4
CI-069,"What 'marine minerals' means, plainly",Ingredients,,tiktok,short,P2,IDEA,build-2026-08-19,canon transparency
CI-070,0g added sugar: what that phrase legally means,Ingredients,,tiktok,short,P2,IDEA,build-2026-08-19,Stated Plainly
CI-071,"Chlorella, dulse, seamoss: one botanical per can, why",Ingredients,,reels,short,P2,IDEA,build-2026-08-19,cans only — sticks pending
CI-072,Electrolytes are not energy: the regulation story,Ingredients,,shorts,short,P1,IDEA,build-2026-08-19,SF-015
CI-073,Different Arenas: surgeon x wrestler split-screen,Culture,,reels,short,P1,IDEA,build-2026-08-19,SF-013 F05 pilot
CI-074,Non-Negotiables: street interviews vol. 1,Culture,,tiktok,short,P1,IDEA,build-2026-08-19,SF-016 F08 pilot
CI-075,The quiet before: montage of empty arenas at dawn,Culture,,reels,short,P2,IDEA,build-2026-08-19,
CI-076,Preparation across generations: the 60-year-old lifter,Culture,,reels,short,P2,IDEA,build-2026-08-19,
CI-077,Why loud confidence is usually compensation,Culture,,x,text,P3,IDEA,build-2026-08-19,careful tone — no punching down
CI-078,"The moment before: line cook, 400-cover Saturday",Culture,,reels,short,P2,IDEA,build-2026-08-19,F01 ep2
CI-079,Everyone performs: the thesis film,Culture,hydration-sticks-launch,reels,hero,P1,IDEA,build-2026-08-19,launch hero candidate
CI-080,Prediction: prep content replaces motivation content,Culture,,x,text,P3,IDEA,build-2026-08-19,
CI-081,What's your arena? — comment harvest launcher,Community,,tiktok,short,P1,IDEA,build-2026-08-19,F05 intake
CI-082,Ask AForce vol. 1: why not just water?,Community,,tiktok,short,P1,IDEA,build-2026-08-19,F12 pilot
CI-083,Flavor debate: Watermelon vs Soursop vs Berry,Community,hydration-sticks-launch,stories,story,P2,IDEA,build-2026-08-19,SF-018 poll
CI-084,"Founding 250: who they are, why 250",Community,,reels,short,P2,IDEA,build-2026-08-19,October event runway
CI-085,Show us your 4:58 — community challenge,Community,,reels,short,P2,IDEA,build-2026-08-19,
CI-086,First customer stories (with permission),Community,hydration-sticks-launch,reels,short,P2,IDEA,build-2026-08-19,post-launch; real stories only
CI-087,Comment-to-content: best objection this week,Community,,tiktok,short,P2,IDEA,build-2026-08-19,F12 recurring
CI-088,"The answers wall: your non-negotiables, featured",Community,,stories,story,P3,IDEA,build-2026-08-19,F08 recurring
CI-089,Batch fails: the formulation loop on camera,Behind The Brand,,reels,short,P1,IDEA,build-2026-08-19,F10 pilot [verify facts]
CI-090,Packaging rev 7 vs rev 1,Behind The Brand,,tiktok,short,P2,IDEA,build-2026-08-19,[verify revision count]
CI-091,The first pallet,Behind The Brand,hydration-sticks-launch,reels,short,P1,IDEA,build-2026-08-19,launch-week moment
CI-092,How a flavor gets approved (taste panel BTS),Behind The Brand,,tiktok,short,P2,IDEA,build-2026-08-19,
CI-093,Warehouse day: what shipping week looks like,Behind The Brand,hydration-sticks-launch,stories,story,P2,IDEA,build-2026-08-19,
CI-094,Why New York: the company's home,Behind The Brand,,linkedin,text,P3,IDEA,build-2026-08-19,[SLOT founder]
CI-095,Explaining soursop to people who've never heard of it,Entertainment,,tiktok,short,P1,IDEA,build-2026-08-19,SF-006
CI-096,Rating movie 'moment before' scenes as prep coaches,Entertainment,,tiktok,short,P2,IDEA,build-2026-08-19,culture-safe fun
CI-097,"The ASMR pour: stick into water, no talking",Entertainment,,reels,short,P2,IDEA,build-2026-08-19,'The Pour' bench franchise
CI-098,Gym sounds ranked by a sound engineer,Entertainment,,tiktok,short,P3,IDEA,build-2026-08-19,
CI-099,Office hydration stations reviewed (kindly),Entertainment,,tiktok,short,P3,IDEA,build-2026-08-19,no punching down
CI-100,POV: your water asks where the electrolytes went,Entertainment,,tiktok,short,P3,IDEA,build-2026-08-19,meme-native; Guardian check
