content_id,date,platform,posting_time,level,content_pillar,campaign,concept,hook,format,talent,product,cta,production_status,approval_status,post_status,asset_link,performance_notes
SF-013,2026-09-05,reels,08:00,Culture,Culture,hydration-sticks-launch,Different Arenas: two alarms 4:45,Two alarms. Same time. Completely different lives.,30s split-screen,surgeon+wrestler,none,What's your arena?,SCRIPTED,PENDING,PLANNED,,CB-03; recruit real subjects
FD-002,2026-09-06,tiktok,12:00,Culture,Founder Journey,hydration-sticks-launch,The call: 'the next big thing',I said a sentence I'd usually be embarrassed by.,45s video,Brandon,none,Follow for ep. 003,SCRIPTED,PENDING,PLANNED,,founder arc 2/6
SF-003,2026-09-06,reels,08:00,Culture,Athletic Performance,hydration-sticks-launch,The Moment Before ep.001: the fighter,She fights in 60 minutes. Watch what she does with them.,60s mini-doc,fighter subject,ambient,Follow the Standard,SCRIPTED,PENDING,PLANNED,,CB-02; depends on real bout schedule
SF-017,2026-09-07,tiktok,12:00,Always-On,Hydration Education,hydration-sticks-launch,Heat rules: training in August/September,Three things change above 85 degrees.,60s video,creator (P1),Sticks,Save for heat week,SCRIPTED,PENDING,PLANNED,,seasonal window
FD-005,2026-09-07,reels,08:00,Culture,Founder Journey,hydration-sticks-launch,Formulate. Fail. Adjust. Return.,Four words got this product made. None of them are 'genius.',60s video,Brandon or Julius,WIP product,What's your loop?,SCRIPTED,PENDING,PLANNED,,founder arc 3/6; bench footage must be real
CAL-X03,2026-09-07,x,09:00,Culture,Culture,hydration-sticks-launch,Prep-over-grind line,Some people romanticize the grind. We respect the prep.,text,brand,none,none,PLANNED,PENDING,PLANNED,,
SF-019,2026-09-08,tiktok,12:00,Always-On,AForce Product,hydration-sticks-launch,Honest answer: when you don't need us,"No, you don't need electrolytes for a 20-minute walk.",45s video,founder,Sticks,Follow for more,SCRIPTED,PENDING,PLANNED,,leadership sign-off required; trust play before launch
SF-015,2026-09-08,shorts,17:00,Always-On,Ingredients,hydration-sticks-launch,Electrolytes are not energy,Electrolytes don't give you energy. They do something better.,45s video,creator/team,Sticks,Save this,SCRIPTED,PENDING,PLANNED,,
FD-008,2026-09-08,linkedin,08:30,Campaign,Founder Journey,hydration-sticks-launch,"Launch month, from inside (text)",Here's what's behind schedule at AForce right now.,text ~200w,Brandon,ambient,builders: reply,SCRIPTED,PENDING,PLANNED,,ALL SLOTS must be real; leadership review
CAL-C01,2026-09-09,tiktok,12:00,Always-On,Community,hydration-sticks-launch,Ask AForce v0: why not just water?,'Why not just water?' Honest answer.,30s reply-style,founder/team,Sticks,Ask the next one,PLANNED,PENDING,PLANNED,,use real question if available; else education framing — never fabricate a comment
FD-006,2026-09-09,reels,08:00,Culture,Founder Journey,hydration-sticks-launch,Julius's dream: why there's an OS,I'm the structure guy. The least mystical person in any room. And yet.,60s video,Julius,OS shown once,Ask Julius anything,SCRIPTED,PENDING,PLANNED,,founder arc 4/6
SF-014,2026-09-10,tiktok,12:00,Campaign,Lifestyle,hydration-sticks-launch,Hotel room ritual,Hotel rooms have ended more streaks than hard workouts ever did.,30s video,creator (P2),Sticks-Berry,Save for your next trip,SCRIPTED,PENDING,PLANNED,,travel pain seeding pre-reveal
SF-011,2026-09-10,shorts,17:00,Always-On,Ingredients,hydration-sticks-launch,"Alkaline, honestly: pH 8.8 is and isn't",We sell alkaline hydration. And that's not how it works.,60s video,founder/team,Cans,Follow the series,SCRIPTED,PENDING,PLANNED,,QA priority + leadership sign-off
CAL-L01,2026-09-10,linkedin,08:30,Culture,Founder Journey,hydration-sticks-launch,"Prediction essay: readiness, not drinks",Hydration brands sell drinks. The next one sells readiness.,text ~150w,Brandon,none,none,PLANNED,PENDING,PLANNED,,
CAL-T2,2026-09-11,tiktok,12:00,Campaign,AForce Product,hydration-sticks-launch,Teaser 2: date drop,Any water. Anywhere. Monday.,15s teaser,product only,Sticks (tease),Set a reminder,PLANNED,PENDING,PLANNED,,"reveals launch date, not product details"
UGC-010,2026-09-11,reels,08:00,Culture,Motivation + Discipline,hydration-sticks-launch,Quiet bag work (creator),No music. No coach. 6 AM and a heavy bag.,30s UGC,boxer creator,none,sound on,PLANNED,PENDING,PLANNED,,RISK: creator delivery due Sep 8
FD-007,2026-09-12,tiktok,12:00,Always-On,Founder Journey,hydration-sticks-launch,"Vision guy, structure guy",One of us dreams it. One of us schedules it.,45s duo,Brandon + Julius,ambient,Questions for us?,SCRIPTED,PENDING,PLANNED,,founder arc 5/6
CAL-X04,2026-09-12,x,09:00,Culture,Founder Journey,hydration-sticks-launch,Build thread: two years of no,Two brothers. Two years of 'no.' One spreadsheet.,thread 6 posts,Brandon,none,none,PLANNED,PENDING,PLANNED,,FD-003/004 thread cut
CAL-T3,2026-09-13,tiktok,12:00,Campaign,AForce Product,hydration-sticks-launch,Launch-eve countdown,"Tomorrow, the ritual travels.",15s teaser,product silhouette,Sticks (tease),Tomorrow.,PLANNED,PENDING,PLANNED,,"the only countdown allowed — honest, single"
FD-010,2026-09-13,reels,08:00,Culture,Founder Journey,hydration-sticks-launch,Why the ritual starts with Pause,The first word of our ritual isn't about hydration at all.,45s video,Brandon,ambient,Start tomorrow morning,SCRIPTED,PENDING,PLANNED,,founder arc 6/6; pins the philosophy pre-launch
CAL-S01,2026-09-13,stories,10:00,Campaign,AForce Product,hydration-sticks-launch,Countdown sticker + origin recap,The ritual travels — tomorrow.,story set,brand,Sticks (tease),reminder sticker,PLANNED,PENDING,PLANNED,,
CB-01,2026-09-14,reels,08:00,Campaign,AForce Product,hydration-sticks-launch,LAUNCH FILM: The Ritual Travels,Five waters. One ritual.,60s hero film,5 community subjects,Sticks all flavors,Begin the ritual — aforce.com,SCRIPTED,PENDING,PLANNED,,LAUNCH DAY 08:00; brief cb-01
SF-005,2026-09-14,tiktok,12:00,Campaign,AForce Product,hydration-sticks-launch,The ritual travels: airport,TSA can't stop your ritual. That's the point of the stick.,30s video,founder or creator,Sticks-Watermelon,Sticks are live — link in bio,SCRIPTED,PENDING,PLANNED,,LAUNCH DAY
SF-007,2026-09-14,shorts,17:00,Campaign,AForce Product,hydration-sticks-launch,Seven demands. One ritual.,Seven demands. One ritual. Pick yours.,45s video,VO + b-roll,Sticks,Which demand owns your week?,SCRIPTED,PENDING,PLANNED,,LAUNCH DAY
CAL-L02,2026-09-14,linkedin,08:30,Campaign,Founder Journey,hydration-sticks-launch,Launch essay (Brandon),We launch the sticks today. Here's the honest version of how we got here.,text ~250w,Brandon,Sticks,aforce.com,PLANNED,PENDING,PLANNED,,LAUNCH DAY; links allowed
CAL-X05,2026-09-14,x,09:00,Campaign,AForce Product,hydration-sticks-launch,Launch announcement,"The ritual travels. Sticks are live: Watermelon, Soursop, Berry.",text + image,brand,Sticks,aforce.com,PLANNED,PENDING,PLANNED,,LAUNCH DAY
CAL-S02,2026-09-14,stories,10:00,Campaign,AForce Product,hydration-sticks-launch,Launch sequence: film cut + first orders + variety pack,Sticks are live.,story set 5-7 frames,brand + founders,Variety Pack,link sticker,PLANNED,PENDING,PLANNED,,LAUNCH DAY; Founding-250 first-order proof w/ permission
SF-008,2026-09-15,tiktok,12:00,Campaign,AForce Product,hydration-sticks-launch,'Isn't this just expensive salt?',Fair question. Real answer.,45s video,founder,Sticks,You don't have to buy it.,SCRIPTED,PENDING,PLANNED,,objection day-2; verify batch figure
CAL-X06,2026-09-15,x,09:00,Campaign,AForce Product,hydration-sticks-launch,"Stated Plainly thread: what's in, what's not claimed",A standard is a discipline. A claim is a sales pitch.,thread 5 posts,brand,Sticks,science page link,PLANNED,PENDING,PLANNED,,
UGC-003,2026-09-16,tiktok,12:00,Campaign,Community,hydration-sticks-launch,Row 34 red-eye ritual,"POV: row 34, red-eye, water from the cart. Ritual intact.",20s UGC,traveler creator,Sticks-Berry,Travel week survivors?,PLANNED,PENDING,PLANNED,,RISK: delivery due Sep 10
SF-018,2026-09-16,reels,08:00,Campaign,AForce Product,hydration-sticks-launch,Which flavor starts your ritual?,Three flavors. Three completely different mornings.,30s video,VO + vignettes,Sticks all,Commit in the comments,SCRIPTED,PENDING,PLANNED,,poll companion in Stories same day
CAL-S03,2026-09-16,stories,10:00,Campaign,Community,hydration-sticks-launch,Flavor poll: Watermelon / Soursop / Berry,Pick your starter.,poll story,brand,Sticks,poll sticker,PLANNED,PENDING,PLANNED,,results published Sep 26 — real numbers only
UGC-001,2026-09-17,tiktok,12:00,Campaign,Community,hydration-sticks-launch,First Action: trainer opens the gym,Nobody preps the person who preps everyone else — so I do.,20s UGC,trainer creator,Sticks-Watermelon,What's your first action?,PLANNED,PENDING,PLANNED,,RISK: delivery due Sep 10
SF-017-R1,2026-09-17,shorts,17:00,Always-On,Hydration Education,hydration-sticks-launch,Heat rules (Shorts adaptation),Training in heat: the 3 things that actually change,60s video,creator (P1),Sticks,Save this,PLANNED,PENDING,PLANNED,,"native re-edit of SF-017, not a repost"
FD-004,2026-09-17,linkedin,08:30,Culture,Founder Journey,hydration-sticks-launch,The spreadsheet (text),A name in an old spreadsheet saved this company.,text ~140w,Brandon,none,keep your old files,SCRIPTED,PENDING,PLANNED,,
CAL-C02,2026-09-18,tiktok,12:00,Campaign,Community,hydration-sticks-launch,First-order proof: Founding 250,The first 250 didn't wait to be convinced.,30s community,community members,Sticks,join them — link in bio,PLANNED,PENDING,PLANNED,,permission-based; real members only
SF-020,2026-09-18,reels,08:00,Campaign,AForce Product,hydration-sticks-launch,Variety Pack in 15 seconds (DR),You don't know your flavor yet. That's the point of this box.,15s video,VO + product,Variety Pack,Link in bio,SCRIPTED,PENDING,PLANNED,,DR allocation
UGC-005,2026-09-19,tiktok,12:00,Campaign,Community,hydration-sticks-launch,The dorm version of the ritual,My roommate's asleep. My season isn't.,20s UGC,student athlete,Sticks-Watermelon,Show us your version,PLANNED,PENDING,PLANNED,,NIL review complete before posting
CAL-X07,2026-09-19,x,09:00,Culture,Founder Journey,hydration-sticks-launch,Founder observation,The standard is expensive right up until it's the only thing you own.,text,Brandon,none,none,PLANNED,PENDING,PLANNED,,
CAL-C03,2026-09-20,tiktok,12:00,Campaign,Behind The Brand,hydration-sticks-launch,"Week one, stated plainly","Launch week, no highlight reel. Here's what actually happened.",45s video,founder,Sticks,questions below,PLANNED,PENDING,PLANNED,,real numbers only if leadership approves sharing
UGC-004,2026-09-20,reels,08:00,Culture,Community,hydration-sticks-launch,Night-shift prep: my arena is 3 AM,My arena starts when yours is asleep.,40s UGC,nurse creator,Sticks-Soursop,Night-arena people?,PLANNED,PENDING,PLANNED,,extra QA + legal review per brief
UGC-006,2026-09-21,tiktok,12:00,Always-On,Community,hydration-sticks-launch,August heat session,The heat doesn't care about your program.,35s UGC,gym creator (hot state),Sticks-Watermelon,How do you adjust?,PLANNED,PENDING,PLANNED,,
FD-009,2026-09-21,linkedin,08:30,Culture,Founder Journey,hydration-sticks-launch,The hardest no so far (text),The most expensive word we've said so far is 'no.',text ~160w,Brandon or Julius,none,best 'no' you've said?,SCRIPTED,PENDING,PLANNED,,real decision + leadership review required
SF-001,2026-09-22,tiktok,12:00,Always-On,AForce Product,hydration-sticks-launch,Why we put the pH on the can and not a promise,Why we put the pH on the can and not a promise.,45s video,founder/team,Cans + Sticks,science page,SCRIPTED,PENDING,PLANNED,,
CAL-E02,2026-09-22,shorts,17:00,Always-On,Ingredients,hydration-sticks-launch,"F04 ep2: Potassium, the signal keeper",Your muscles wait for a signal. Potassium keeps it alive.,60s video,creator/team,Sticks,Save this,PLANNED,PENDING,PLANNED,,script from SF-002 template; NIH sourced
CAL-C04,2026-09-23,tiktok,12:00,Always-On,Community,hydration-sticks-launch,Ask AForce vol.1 (real launch questions),You asked. Plain answers.,45s reply video,founder/team,Sticks,next question below,PLANNED,PENDING,PLANNED,,REAL comments only — Agent 17 sources
UGC-002,2026-09-23,reels,08:00,Campaign,Athletic Performance,hydration-sticks-launch,48 Hours Out: first half-marathon,48 hours from my first half and the hardest part is doing nothing.,60s UGC,runner creator,Sticks-Berry,Racing soon?,PLANNED,PENDING,PLANNED,,sync to creator's real race date; may shift
UGC-008,2026-09-24,tiktok,12:00,Always-On,Lifestyle,hydration-sticks-launch,The 90-minute deep work block,I prepare for 90 minutes of work like other people prepare for a workout.,40s UGC,knowledge-work creator,Sticks-Berry,What's your block ritual?,PLANNED,PENDING,PLANNED,,
CAL-E03,2026-09-24,shorts,17:00,Always-On,Ingredients,hydration-sticks-launch,"F04 ep3: Magnesium, quiet participant",Magnesium participates in energy production. Quietly.,60s video,creator/team,Sticks,Save this,PLANNED,PENDING,PLANNED,,NIH framing per CLAIMS
CAL-L03,2026-09-24,linkedin,08:30,Always-On,Founder Journey,hydration-sticks-launch,Julius ops essay: systems make behavior repeatable,I don't run this company on dreams. I run it on plans.,text ~170w,Julius,none,none,PLANNED,PENDING,PLANNED,,
CAL-X08,2026-09-24,x,09:00,Culture,Culture,hydration-sticks-launch,Reversal post,The next flex isn't the workout. It's the calm.,text,brand,none,none,PLANNED,PENDING,PLANNED,,
UGC-009,2026-09-25,tiktok,12:00,Always-On,Lifestyle,hydration-sticks-launch,Before the household wakes,The house wakes at 6:40. I wake at 6:05. That 35 minutes is the whole trick.,30s UGC,parent creator,Sticks (any),Parents: your stolen half-hour?,PLANNED,PENDING,PLANNED,,consent rules for family
SF-005-R1,2026-09-25,reels,08:00,Campaign,AForce Product,hydration-sticks-launch,The ritual travels: gym bag cut,The five pounds in your gym bag that matter most weigh half an ounce.,30s re-edit,creator,Sticks,link in bio,PLANNED,PENDING,PLANNED,,Agent 12 repurpose of SF-005 footage
CAL-C05,2026-09-26,tiktok,12:00,Campaign,Community,hydration-sticks-launch,Flavor poll results (real),You voted. Here's the board.,30s results video,brand,Sticks all,argue in the comments,PLANNED,PENDING,PLANNED,,REAL poll numbers only; labeled early-audience signal
CAL-S04,2026-09-26,stories,10:00,Campaign,Community,hydration-sticks-launch,Results + reactions,The flavor standings.,story set,brand,Sticks,quiz sticker,PLANNED,PENDING,PLANNED,,
CAL-C06,2026-09-27,tiktok,12:00,Culture,Community,hydration-sticks-launch,Arena answers feature,You told us your arenas. We can't stop reading them.,30s community feature,community,none,keep them coming,PLANNED,PENDING,PLANNED,,REAL comments w/ permission only
UGC-007,2026-09-27,reels,08:00,Campaign,Entertainment,hydration-sticks-launch,"Soursop first taste, with family","If you know soursop, you already know. If you don't — sit down.",40s UGC,heritage creator + family,Sticks-Soursop,your soursop memory?,PLANNED,PENDING,PLANNED,,F14 casting rules; honest verdict stays in
CAL-W01,2026-09-28,tiktok,12:00,Always-On,TBD,hydration-sticks-launch,WINNER DOUBLE-DOWN SLOT,(assigned from real Sep 14–21 data),variation,TBD,TBD,TBD,PLANNED,PENDING,PLANNED,,deliberately unassigned until winner detection runs
CAL-L04,2026-09-28,linkedin,08:30,Campaign,Behind The Brand,hydration-sticks-launch,"Launch retro, stated plainly","Two weeks in. What worked, what didn't, said plainly.",text ~200w,Brandon,Sticks,none,PLANNED,PENDING,PLANNED,,real learnings only
CAL-W02,2026-09-29,tiktok,12:00,Always-On,TBD,hydration-sticks-launch,EXPERIMENT SLOT (EXP-001 variant B),(question-hook variant of a proven concept),variation,TBD,TBD,TBD,PLANNED,PENDING,PLANNED,,paired arm for EXP-001
CAL-E04,2026-09-29,shorts,17:00,Always-On,Ingredients,hydration-sticks-launch,F04 ep4: Calcium beyond bones,Calcium's other job: the conversation between nerves and muscle.,60s video,creator/team,Sticks,Save the series,PLANNED,PENDING,PLANNED,,
CAL-C07,2026-09-30,tiktok,12:00,Campaign,Behind The Brand,hydration-sticks-launch,30 days of the ritual traveling — what we learned,One month. Plain numbers. Real lessons.,45s video,founder,Sticks,October's coming,PLANNED,PENDING,PLANNED,,real learnings only; feeds post-mortem
CAL-T4,2026-09-30,reels,08:00,Campaign,Community,hydration-sticks-launch,October tease: the Founding 250,250 seats. Brickell. October.,20s teaser,brand,none,request an invitation,PLANNED,PENDING,PLANNED,,hands momentum to next campaign
CAL-S05,2026-09-30,stories,10:00,Campaign,Community,hydration-sticks-launch,Oct tease + month thank-you,"Month one, done. October is different.",story set,brand,none,link sticker,PLANNED,PENDING,PLANNED,,
